x;y;Density;Altitude
106.7778852;-6.245599709;29686.34272;26
106.7788891;-6.276164335;10115.49708;36
106.8181877;-6.263160423;8058.664725;25
106.8221313;-6.235976199;16228.01636;16
106.8287861;-6.242727692;29289.57529;22
106.8172934;-6.248447703;33021.80877;21
106.8292321;-6.248802622;38367.42424;22
106.8543572;-6.2450411;18288.46422;23
106.8351652;-6.255885077;18024.42827;24
106.8376342;-6.263338194;23003.49956;30
106.8407261;-6.2475132;20036.94581;16
106.8552954;-6.249319849;27952.27996;23
106.8546517;-6.258078344;17821.52778;27
106.8127156;-6.291179632;8988.544207;37
106.8312096;-6.288736605;18691.59627;34
106.830937;-6.309713297;24765.48673;49
106.8396446;-6.289767991;10904.88155;40
106.8351668;-6.272953463;15904.62059;29
106.8483532;-6.27991887;26990.62838;37
106.821247;-6.298529811;9681.023893;39
106.7636224;-6.269706942;14368.38639;33
106.7588748;-6.256248665;16304.39952;25
106.7537334;-6.243303647;22061.49745;23
106.7508323;-6.229356652;22496.32402;18
106.7631169;-6.236171418;30104.98534;18
106.8331761;-6.207211032;7080.679406;11
106.8267212;-6.213679797;12482.11043;10
106.8178888;-6.222476008;3687.493039;15
106.8416053;-6.21047635;42539.74359;14
106.8258404;-6.20747428;4928.32026;11
106.8280569;-6.220359395;11034.09726;19
106.8294256;-6.231520068;3428.970657;17
106.8390641;-6.216961005;38091.81416;17
106.8581191;-6.221337778;39465.47052;15
106.8615761;-6.233723743;33917.54969;19
106.8510546;-6.213525657;37286.4638;12
106.8485078;-6.219990731;55327.75725;14
106.841066;-6.231367116;21361.42857;16
106.8489108;-6.234985475;14987.76224;17
106.8554426;-6.233827388;15627.06983;21
106.9346444;-6.173234906;12184.41291;7
106.9551325;-6.17100934;7620.703785;5
106.9159865;-6.203537808;16281.47025;8
106.9348026;-6.205524379;27688.92853;9
106.9527766;-6.204815978;17745.52023;10
106.9203536;-6.184414102;9549.090909;7
106.9621611;-6.186118772;7496.757767;11
106.9022452;-6.311811887;10391.44446;37
106.8928807;-6.308150031;6538.885825;41
106.9086117;-6.333196736;5746.4294;46
106.8938664;-6.330219153;10592.54457;42
106.9034121;-6.294078195;21439.54863;39
106.8969927;-6.349940141;15691.01419;58
106.9078158;-6.354446383;8729.423658;69
106.9136931;-6.313345909;7953.678642;42
106.882164;-6.356879575;18297.09743;70
106.8764701;-6.326018579;20623.87095;49
106.8829635;-6.34104876;17390.31051;52
106.8766454;-6.306856996;22237.32057;37
106.868518;-6.31621136;21998.6292;46
106.9167657;-6.234033324;16653.9348;14
106.9080375;-6.21871681;28953.75533;13
106.934817;-6.223806008;38672.33354;15
106.9282905;-6.223710727;24415.10526;16
106.9015334;-6.234199124;15673.47356;22
106.932379;-6.242858623;15634.01206;18
106.9425572;-6.225943776;21604.36893;18
106.8662919;-6.219521741;17265.84533;12
106.8611144;-6.217169338;35848.53291;12
106.8807149;-6.229437555;27229.84193;17
106.8795047;-6.218717557;51306.42361;14
106.8735266;-6.236943151;30960.46512;23
106.8890372;-6.226710549;23850.43178;15
106.86688;-6.235269995;67798.45285;23
106.8716504;-6.220518705;30480.31945;17
106.8527231;-6.281549655;21972.52911;34
106.8611809;-6.278799467;23672.58112;31
106.8671466;-6.250904969;22751.89902;24
106.8644554;-6.262640457;28509.29669;27
106.8777882;-6.296130303;15736.28149;32
106.8664348;-6.289677593;27588.38633;32
106.8708472;-6.274162796;28020.84708;23
106.9062704;-6.250012858;20907.07702;15
106.8931913;-6.26575277;2720.358113;25
106.8777895;-6.256110301;25465.35948;21
106.8769728;-6.275740978;26868.71196;26
106.8847459;-6.291096452;14605.57091;31
106.8621728;-6.202708571;54362.84722;14
106.8552885;-6.207251063;25581.12773;14
106.8588882;-6.203562036;37144.82337;14
106.8686777;-6.211947213;58044.122;18
106.8689844;-6.203582973;36880.23525;10
106.8680781;-6.195603391;32539.10615;9
106.8468569;-6.32462487;16009.53137;51
106.8582859;-6.322047421;21699.03931;42
106.85995;-6.301529132;16987.85118;43
106.8506815;-6.336843439;18617.37779;59
106.8641371;-6.344752928;17151.98439;62
106.8911945;-6.207640448;31871.89542;13
106.8969599;-6.19453974;18573.08585;12
106.9013475;-6.202434028;25201.29607;12
106.8836443;-6.179419451;11419.42125;5
106.8800509;-6.208680496;28348.30646;16
106.898849;-6.182999879;22261.05044;7
106.8823698;-6.195896571;17758.5544;9
106.9447641;-6.111410048;8846.415842;2
106.9203651;-6.102976307;35922.98338;5
106.960669;-6.112528954;4737.965618;1
106.9557164;-6.144653757;5074.081038;4
106.9240494;-6.125920984;55175.08015;4
106.932776;-6.120314908;14621.2241;4
106.9278508;-6.148079714;12523.51265;4
106.8455056;-6.150744469;12491;5
106.8952512;-6.155019944;9541.181144;4
106.9035436;-6.168385012;7580.195258;5
106.9146531;-6.164146346;9669.806817;6
106.8989972;-6.105784278;10952.10494;0
106.9105601;-6.113965078;48269.53596;4
106.8987113;-6.13152798;53753.19819;4
106.8978276;-6.119635189;33043.18489;4
106.9102202;-6.135415317;18926.49254;3
106.9120112;-6.124305682;26342.46988;4
106.8337226;-6.124390172;7985.846056;0
106.8367719;-6.134890309;26463.84604;3
106.847461;-6.140582441;17586.51049;3
106.7357016;-6.110590195;1539.206379;0
106.7632767;-6.122389166;4428.741919;2
106.7847671;-6.135836935;28255.77078;3
106.8000451;-6.122050264;28358.7487;2
106.7867261;-6.113297962;7469.106187;4
106.888953;-6.119458978;37390.85119;5
106.8711494;-6.129037079;17797.80494;0
106.8860181;-6.130733902;15978.84941;4
106.8620638;-6.138022062;12533.81938;6
106.8767491;-6.15134928;17232.03178;6
106.8792421;-6.109080612;7918.050542;-1
106.8777605;-6.121821637;52135.2444;3
