"","PopDensity","x","y"
"635",20247.1246594639,706440,-697560
"636",21553.9986293457,707360,-697560
"637",19018.4921390922,708280,-697560
"638",8828.52760904531,709200,-697560
"639",13444.5801910003,710120,-697560
"640",14588.6995878179,711040,-697560
"641",14321.5937191605,711960,-697560
"696",14513.7586558796,696320,-696640
"697",14314.0350135662,697240,-696640
"698",16647.9313957776,698160,-696640
"699",16497.6259991705,699080,-696640
"700",16499.6253323383,7e+05,-696640
"701",14709.723842721,700920,-696640
"702",13877.8849158139,701840,-696640
"703",18895.5377858618,702760,-696640
"704",18826.6513052619,703680,-696640
"705",19192.049254798,704600,-696640
"706",18712.0879923157,705520,-696640
"707",20517.1850847972,706440,-696640
"708",19057.9332698345,707360,-696640
"709",18308.312302855,708280,-696640
"710",17539.8093124452,709200,-696640
"711",18478.5001812682,710120,-696640
"712",18992.5091864524,711040,-696640
"713",18641.8920020773,711960,-696640
"768",17515.8679800856,696320,-695720
"769",17094.8894729633,697240,-695720
"770",15462.8353878209,698160,-695720
"771",12413.6144649756,699080,-695720
"772",14312.4437634298,7e+05,-695720
"773",13078.4515380197,700920,-695720
"774",17531.3219524479,701840,-695720
"775",18364.099676269,702760,-695720
"776",13063.1564939384,703680,-695720
"777",20635.4864814604,704600,-695720
"778",21980.6482832386,705520,-695720
"779",26931.5797260051,706440,-695720
"780",20783.8052194861,707360,-695720
"781",16063.2786830948,708280,-695720
"782",18685.3252110821,709200,-695720
"783",20318.474250438,710120,-695720
"784",20558.3034403298,711040,-695720
"839",18495.9677173064,695400,-694800
"840",16881.3972467746,696320,-694800
"841",16715.9736034336,697240,-694800
"842",17220.4198873284,698160,-694800
"843",16882.5264611331,699080,-694800
"844",17181.9307293765,7e+05,-694800
"845",17686.8167579778,700920,-694800
"846",18954.4555434959,701840,-694800
"847",19206.3375860913,702760,-694800
"848",20186.5556165861,703680,-694800
"849",23898.6271021047,704600,-694800
"850",22898.5707957675,705520,-694800
"851",23719.2972315312,706440,-694800
"852",23438.7305074331,707360,-694800
"853",21588.3654428053,708280,-694800
"854",20527.7823500342,709200,-694800
"855",20607.6525188233,710120,-694800
"856",20937.0647050895,711040,-694800
"910",18355.3545431458,694480,-693880
"911",17214.0606682923,695400,-693880
"912",15160.6379280074,696320,-693880
"913",15102.4189124915,697240,-693880
"914",17075.6450423402,698160,-693880
"915",17365.4824821755,699080,-693880
"916",16284.0126347874,7e+05,-693880
"917",18580.8499110827,700920,-693880
"918",19488.9131450054,701840,-693880
"919",17920.8114688263,702760,-693880
"920",20832.0142693904,703680,-693880
"921",23184.8018201533,704600,-693880
"922",23413.9663320027,705520,-693880
"923",24856.1618830729,706440,-693880
"924",26101.4667453098,707360,-693880
"925",23376.8296204757,708280,-693880
"926",19413.8113588009,709200,-693880
"927",19568.5954603037,710120,-693880
"928",21184.7542431497,711040,-693880
"982",18347.1221388942,694480,-692960
"983",17240.1065238993,695400,-692960
"984",18995.1607452322,696320,-692960
"985",19448.864515579,697240,-692960
"986",19224.6637756746,698160,-692960
"987",19108.4663495767,699080,-692960
"988",19012.1245128463,7e+05,-692960
"989",14568.7824206364,700920,-692960
"990",18846.3833688314,701840,-692960
"991",21102.1873348318,702760,-692960
"992",22112.5274441848,703680,-692960
"993",22708.1515082675,704600,-692960
"994",23781.2131363182,705520,-692960
"995",26070.3179684784,706440,-692960
"996",24682.546221049,707360,-692960
"997",22549.2736013561,708280,-692960
"998",7667.12059351187,709200,-692960
"999",16193.5357217677,710120,-692960
"1054",17058.4923094101,694480,-692040
"1055",19841.3539035713,695400,-692040
"1056",20569.8795016176,696320,-692040
"1057",21084.9609284373,697240,-692040
"1058",31903.1699996307,698160,-692040
"1059",17148.8716445562,699080,-692040
"1060",18579.1625330681,7e+05,-692040
"1061",18663.5376972116,700920,-692040
"1062",21303.900861061,701840,-692040
"1063",20796.2722849898,702760,-692040
"1064",22170.9313968635,703680,-692040
"1065",22407.4095439005,704600,-692040
"1066",21591.5948633899,705520,-692040
"1067",25313.9042540667,706440,-692040
"1068",25205.1614079197,707360,-692040
"1069",24384.8793082496,708280,-692040
"1070",21063.0871087074,709200,-692040
"1071",21103.2506697357,710120,-692040
"1072",22102.5704686651,711040,-692040
"1073",22635.0639880548,711960,-692040
"1125",21407.3927212223,693560,-691120
"1126",20823.6791814035,694480,-691120
